,level_0,index,userId,movieId,rating,timestampRating,tag,timestampTag,title,genres,titleOnly,year,genreCat,tagSentiment
0,0,0,2,60756,5.0,1445714980,funny,1445714994,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.4404
1,1,1,2,60756,5.0,1445714980,Highly quotable,1445714996,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.0
2,2,2,2,60756,5.0,1445714980,will ferrell,1445714992,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.0
3,3,3,62,60756,3.5,1528934376,comedy,1528934384,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.3612
4,4,4,62,60756,3.5,1528934376,funny,1528934381,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.4404
5,5,5,62,60756,3.5,1528934376,will ferrell,1528934379,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.0
6,6,6,424,60756,4.0,1457846119,funny,1457846127,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.4404
7,7,7,424,60756,4.0,1457846119,will ferrell,1457846129,Step Brothers (2008),Comedy,Step Brothers,2008,189,0.0
8,8,8,2,89774,5.0,1445715189,Boxing story,1445715207,Warrior (2011),Drama,Warrior,2011,263,0.0
9,9,9,2,89774,5.0,1445715189,MMA,1445715200,Warrior (2011),Drama,Warrior,2011,263,0.0
10,10,10,2,89774,5.0,1445715189,Tom Hardy,1445715205,Warrior (2011),Drama,Warrior,2011,263,0.4019
11,11,11,2,106782,5.0,1445714966,drugs,1445715054,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,"Wolf of Wall Street, The",2013,191,0.0
12,12,12,2,106782,5.0,1445714966,Leonardo DiCaprio,1445715051,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,"Wolf of Wall Street, The",2013,191,0.0
13,13,13,2,106782,5.0,1445714966,Martin Scorsese,1445715056,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,"Wolf of Wall Street, The",2013,191,0.0
14,14,14,537,106782,5.0,1424142673,Stock Market,1424142693,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,"Wolf of Wall Street, The",2013,191,0.0
15,15,15,537,106782,5.0,1424142673,Wall Street,1424142688,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,"Wolf of Wall Street, The",2013,191,0.0
16,16,16,7,48516,1.0,1169687318,way too long,1169687325,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
17,17,17,357,48516,4.0,1348610145,Leonardo DiCaprio,1348627149,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
18,18,18,357,48516,4.0,1348610145,suspense,1348627152,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
19,19,19,357,48516,4.0,1348610145,twist ending,1348627154,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
20,20,20,357,48516,4.0,1348610145,undercover cop,1348627156,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
21,21,21,424,48516,4.5,1457843150,atmospheric,1457843188,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
22,22,22,424,48516,4.5,1457843150,Jack Nicholson,1457843173,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
23,23,23,424,48516,4.5,1457843150,Leonardo DiCaprio,1457843178,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
24,24,24,424,48516,4.5,1457843150,Martin Scorsese,1457843176,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
25,25,25,424,48516,4.5,1457843150,suspense,1457843184,"Departed, The (2006)",Crime|Drama|Thriller,"Departed, The",2006,247,0.0
